8,5,4,6
8,5,4,6
8,5,4,6
0,0,0,6
22,12,11,6
0,0,0,6
0,0,0,6
11,8,8,6
14,10,9,6
11,8,7,6
11,8,7,6
10,8,8,6
12,9,8,6
11,9,8,6
11,9,8,6
113,109,104,7
124,119,114,7
122,117,113,7
141,136,131,7
97,91,88,7
100,96,92,7
100,96,92,7
99,95,91,7
113,109,105,7
107,103,99,7
120,115,111,7
95,91,87,7
121,117,112,7
117,112,108,7
97,97,98,7
3,1,1,6
3,1,1,6
227,79,38,0
243,83,39,0
134,42,16,0
159,52,21,0
174,62,26,0
236,81,35,0
248,85,35,0
248,85,35,0
250,85,33,0
250,85,34,0
247,86,18,0
247,67,30,0
239,85,22,0
247,91,29,0
249,116,89,0
247,92,70,0
241,73,55,0
241,66,47,0
240,64,45,0
206,60,45,0
208,77,59,0
195,69,51,0
172,62,45,0
172,61,45,0
178,67,50,0
180,66,49,0
37,128,72,1
37,128,72,1
37,128,72,1
56,131,84,1
62,126,82,1
51,117,71,1
57,113,72,1
58,120,78,1
56,121,80,1
20,105,47,1
21,106,47,1
14,133,12,1
16,136,13,1
18,109,15,1
18,106,15,1
18,111,15,1
6,117,36,1
6,117,36,1
7,116,37,1
41,111,57,1
43,92,51,1
51,136,15,1
52,132,18,1
55,133,20,1
55,132,21,1
51,137,16,1
50,135,15,1
0,41,227,2
0,38,223,2
0,38,216,2
5,33,159,2
11,28,129,2
10,27,125,2
11,25,118,2
11,22,108,2
10,25,122,2
0,34,209,2
0,17,254,2
0,16,254,2
0,17,254,2
0,17,253,2
4,51,203,2
0,110,195,2
0,93,172,2
0,92,171,2
1,87,145,2
0,99,166,2
0,58,218,2
0,58,219,2
5,107,181,2
6,10,236,2
7,9,218,2
11,14,215,2
10,14,224,2
3,6,250,2
0,126,212,2
0,111,194,2
0,101,181,2
0,63,233,2
0,58,227,2
0,56,215,2
232,114,24,3
232,114,25,3
232,114,25,3
228,113,25,3
223,114,30,3
210,107,28,3
203,103,27,3
182,91,24,3
180,99,32,3
179,99,36,3
181,100,36,3
180,100,37,3
171,93,35,3
147,79,30,3
151,83,33,3
169,93,34,3
129,66,24,3
170,94,34,3
218,125,47,3
198,119,46,3
195,120,46,3
232,136,46,3
232,127,37,3
209,112,31,3
240,123,35,3
235,114,30,3
221,108,31,3
222,109,31,3
222,106,28,3
239,114,29,3
240,115,29,3
240,115,29,3
218,105,29,3
116,64,25,3
132,72,27,3
141,78,31,3
225,125,28,3
216,115,22,3
211,110,20,3
203,108,23,3
214,113,22,3
215,114,22,3
216,115,22,3
216,115,22,3
122,74,27,3
125,86,34,3
155,107,41,3
145,96,34,3
132,85,29,3
110,66,21,3
245,169,67,3
233,127,43,3
226,112,35,3
185,79,20,3
179,80,23,3
224,199,91,3
178,130,58,3
168,110,33,3
169,108,32,3
141,93,28,3
160,109,34,3
158,111,39,3
230,125,35,3
219,112,28,3
218,113,29,3
220,112,26,3
216,110,28,3
204,102,22,3
179,151,30,4
175,148,29,4
169,142,27,4
175,147,25,4
180,152,26,4
181,152,29,4
179,152,32,4
176,151,31,4
176,151,32,4
176,150,29,4
144,118,26,4
145,119,27,4
138,115,36,4
127,104,33,4
119,97,28,4
125,100,29,4
138,112,36,4
146,116,34,4
130,128,54,4
133,131,54,4
134,132,54,4
133,131,55,4
133,131,56,4
129,127,56,4
118,120,59,4
118,117,59,4
126,126,63,4
153,136,12,4
154,136,13,4
154,136,13,4
122,115,24,4
114,108,22,4
109,103,22,4
109,103,22,4
184,41,230,5
178,37,224,5
176,36,220,5
170,32,213,5
186,26,250,5
187,27,251,5
188,29,252,5
132,51,158,5
135,52,162,5
125,42,155,5
155,49,219,5
148,47,205,5
126,91,219,5
119,84,213,5
111,78,200,5
120,83,223,5
87,26,172,5
87,26,174,5
89,27,176,5
89,27,177,5
137,96,159,5
139,98,160,5
144,102,167,5
143,101,165,5
142,101,163,5
143,101,165,5
147,30,138,5
174,43,166,5
204,54,201,5
214,36,210,5
214,36,210,5
212,36,208,5
202,35,197,5
174,26,165,5
241,96,223,5
234,83,207,5
234,74,197,5
240,59,182,5
239,55,177,5
238,53,173,5
93,77,71,5
135,105,178,5
125,95,165,5
120,91,161,5
125,98,164,5
178,102,186,5
173,97,181,5
167,92,176,5
150,78,156,5
110,57,126,5
127,56,163,5
130,41,169,5
134,48,174,5
131,45,172,5
133,49,179,5
153,41,28,0
152,40,28,0
156,36,23,0
164,59,50,0
167,58,47,0
167,58,47,0
166,57,46,0
164,55,45,0
163,52,42,0
162,46,36,0
161,45,35,0
159,44,34,0
161,43,32,0
165,44,32,0
104,97,92,7
104,97,92,7
135,119,100,7
126,115,102,7
124,114,101,7
124,113,101,7
125,113,100,7
125,114,101,7
125,115,105,7
126,115,104,7
129,120,108,7
133,125,115,7
132,123,113,7
44,86,131,2
43,84,129,2
38,81,125,2
21,67,102,2
15,62,94,2
10,55,83,2
8,94,128,2
12,94,130,2
11,97,134,2
8,99,136,2
5,99,136,2
107,85,37,4
110,85,37,4
108,84,39,4
101,90,49,4
93,83,50,4
89,77,41,4
87,74,38,4
122,115,70,4
123,116,73,4
78,99,73,1
80,100,74,1
74,89,60,1
180,139,117,3
180,137,114,3
177,132,110,3
176,127,104,3
172,121,100,3
172,117,97,3
175,118,100,3
168,107,83,3
180,111,77,3
184,103,74,3
184,101,73,3
188,71,36,3
190,70,35,3
189,70,36,3
189,71,37,3
189,68,34,3
192,72,38,3
39,70,59,1
39,70,59,1
38,70,60,1
37,70,60,1
35,70,60,1
34,70,60,1
35,67,57,1
37,96,87,1
37,95,86,1
34,94,85,1
30,97,87,1
30,97,85,1
30,95,81,1
35,96,80,1
37,97,82,1
38,92,78,1
38,87,75,1
38,87,75,1
39,88,76,1
39,90,78,1
86,115,110,1
87,115,111,1
87,115,111,1
90,118,112,1
89,118,113,1
90,120,113,1
89,121,113,1
127,119,71,1
127,120,72,1
130,127,91,1
130,128,89,1
119,122,79,1
108,109,69,1
116,115,76,1
123,121,81,1
114,116,71,1
86,82,53,1
91,86,59,1
126,116,95,1
129,116,94,1
125,114,92,1
111,104,84,1
80,88,66,1
71,76,47,1
64,71,45,1
100,105,83,1
97,101,79,1
95,99,79,1
105,105,86,1
113,109,90,1
127,119,104,1
131,120,112,1
133,119,111,1
118,91,41,4
120,89,36,4
124,91,35,4
130,95,30,4
128,89,18,4
134,93,19,4
138,96,21,4
143,100,25,4
128,91,24,4
124,81,9,4
136,88,6,4
148,97,10,4
130,109,86,7
109,96,79,7
109,95,78,7
108,95,78,7
109,95,78,7
109,94,77,7
107,93,76,7
107,92,76,7
107,91,76,7
106,91,75,7
97,85,73,7
95,85,76,7
97,90,82,7
150,39,49,0
182,54,68,0
212,69,82,0
216,70,83,0
227,66,69,0
243,65,54,0
245,82,66,0
245,84,68,0
158,115,100,3
159,113,98,3
160,110,95,3
167,112,95,3
175,113,95,3
174,109,91,3
158,96,80,3
145,89,75,3
139,84,72,3
137,74,59,3
137,76,61,3
136,79,64,3
137,80,66,3
139,75,57,3
138,74,56,3
134,72,58,3
132,72,60,3
181,102,78,3
179,111,90,3
179,112,91,3
176,114,95,3
176,115,96,3
164,107,91,3
152,97,82,3
144,92,77,3
138,91,77,3
135,94,80,3
72,66,62,7
94,80,68,7
